year,revenue,profit,cost,price
1950,500000.0,50000.0,450000.0,25.0
1951,591836.73,59787.59,532049.15,26.94
1952,683673.47,69762.6,613910.87,28.88
1953,775510.2,79925.03,695585.17,30.82
1954,867346.94,90274.98,777071.96,32.76
1955,959183.67,100712.44,858471.23,34.69
1956,1051020.41,111237.43,940783.0,36.63
1957,1142857.14,121849.93,1021007.21,38.57
1958,1234693.88,132549.95,1102143.93,40.51
1959,1326530.61,143337.49,1183193.12,42.45
1960,1418367.35,154212.55,1264154.8,44.39
1961,1510204.08,165175.12,1345028.96,46.33
1962,1602040.82,176225.22,1425815.6,48.27
1963,1693877.55,187362.83,1506514.72,50.2
1964,1785714.29,198587.96,1587126.33,52.14
1965,1877551.02,209900.61,1667650.41,54.08
1966,1969387.76,221300.78,1748086.98,56.02
1967,2061224.49,232788.47,1828436.02,57.96
1968,2153061.22,244363.67,1908697.55,59.9
1969,2244897.96,256026.4,1988871.56,61.84
1970,2336734.69,267776.64,2068958.05,63.78
1971,2428571.43,279614.4,2148957.03,65.71
1972,2520408.16,291539.68,2228868.48,67.65
1973,2612244.9,303552.47,2308692.43,69.59
1974,2704081.63,315652.79,2388428.84,71.53
1975,2795918.37,327840.62,2468077.75,73.47
1976,2887755.1,340115.97,2547639.13,75.41
1977,2979591.84,352478.84,2627112.99,77.35
1978,3071428.57,364929.22,2706499.35,79.29
1979,3163265.31,377467.13,2785798.18,81.22
1980,3255102.04,390092.55,2865009.49,83.16
1981,3346938.78,402805.49,2944133.29,85.1
1982,3438775.51,415605.95,3023169.56,87.04
1983,3530612.24,428493.93,3102118.31,88.98
1984,3622448.98,441469.43,3180980.55,90.92
1985,3714285.71,454532.45,3259755.26,92.86
1986,3806122.45,467682.98,3338442.47,94.8
1987,3897959.18,480921.03,3417042.15,96.73
1988,3989795.92,494246.61,3495554.31,98.67
1989,4081632.65,507659.7,3573978.95,100.61
1990,4173469.39,521160.3,3652316.08,102.55
1991,4265306.12,534748.43,3730565.69,104.49
1992,4357142.86,548424.07,3808727.79,106.43
1993,4448979.59,562187.23,3886802.36,108.37
1994,4540816.33,576037.91,3964789.42,110.31
1995,4632653.06,589976.1,4042688.96,112.24
1996,4724489.8,604001.81,4120500.99,114.18
1997,4816326.53,618115.03,4198225.5,116.12
1998,4908163.27,632315.77,4275862.5,118.06
1999,5000000.0,646604.02,4353395.98,120.0
2000,5091836.73,658779.61,4433057.12,121.94
2001,5183673.47,670955.21,4512718.26,123.88
2002,5275510.2,683130.8,4592379.41,125.82
2003,5367346.94,695306.39,4672040.55,127.76
2004,5459183.67,707481.98,4751701.69,129.69
2005,5551020.41,719657.58,4831362.83,131.63
2006,5642857.14,731833.17,4911023.98,133.57
2007,5734693.88,744008.76,4990685.12,135.51
2008,5826530.61,756184.35,5070346.26,137.45
2009,5918367.35,768359.95,5150007.4,139.39
2010,6010204.08,780535.54,5229668.55,141.33
2011,6102040.82,792711.13,5309329.69,143.27
2012,6193877.55,804886.72,5388990.83,145.2
2013,6285714.29,817062.32,5468651.97,147.14
2014,6377551.02,829237.91,5548313.12,149.08
2015,6469387.76,841413.5,5627974.26,151.02
2016,6561224.49,853589.1,5707635.4,152.96
2017,6653061.22,865764.69,5787296.54,154.9
2018,6744897.96,877940.28,5866957.69,156.84
2019,6836734.69,890115.87,5946618.83,158.78
2020,20785714.29,2706874.4,18078839.91,482.14
2021,21061224.49,2743401.17,18317823.34,487.96
2022,21336734.69,2779927.95,18556806.77,493.78
2023,21612244.9,2816454.73,18795790.2,499.59
2024,4377551.02,570596.3,3806954.72,101.08
2025,4432653.06,577901.66,3854751.41,102.24
